Host,Plugin ID,Plugin Name,Severity,CVSS,Port,Protocol,Synopsis
10.10.10.10,100001,SMB Remote Code Execution Exposure,Critical,9.8,445,tcp,"The SMB service is affected by a remote code execution vulnerability."
10.10.10.10,100002,SMB Signing Not Required,High,8.1,445,tcp,"The SMB server does not require message signing."
10.10.10.10,100003,RDP Network Level Authentication Disabled,High,8.2,3389,tcp,"The RDP service permits connections without network level authentication."
10.10.10.10,100004,RPC Service Enumeration,Medium,5.3,135,tcp,"The remote RPC service exposes system information."
10.10.10.10,100005,Operating System Identification,Info,0.0,0,tcp,"The operating system was identified from service responses."
10.10.10.11,100006,RDP Remote Code Execution Exposure,Critical,9.8,3389,tcp,"The RDP service is affected by a remote code execution vulnerability."
10.10.10.11,100007,SMB Version 1 Enabled,High,8.8,445,tcp,"The legacy SMB version 1 protocol is enabled."
10.10.10.11,100008,NetBIOS Name Enumeration,Medium,5.0,139,tcp,"NetBIOS discloses host and workgroup information."
10.10.10.11,100009,RDP Certificate Not Trusted,Low,3.1,3389,tcp,"The RDP service presents an untrusted certificate."
10.10.10.11,100010,Windows Service Detection,Info,0.0,445,tcp,"Windows network services were identified."
10.10.20.20,100011,OpenSSH Signal Handler Race Condition,Critical,9.8,22,tcp,"The SSH service is affected by a critical race condition."
10.10.20.20,100012,OpenSSH Security Update Required,High,8.1,22,tcp,"The installed OpenSSH version requires a security update."
10.10.20.20,100013,SSH Weak Key Exchange Algorithms,Medium,5.9,22,tcp,"The SSH service supports weak key exchange algorithms."
10.10.20.20,100014,SSH Server Information Disclosure,Low,3.7,22,tcp,"The SSH banner discloses software version information."
10.10.20.20,100015,Linux Operating System Identification,Info,0.0,0,tcp,"The remote Linux operating system was identified."
10.10.20.21,100016,HTTPS Component Security Update Required,High,8.1,443,tcp,"The HTTPS service uses a component requiring a security update."
10.10.20.21,100017,Web Application Authentication Bypass,High,8.8,443,tcp,"The web application may permit authentication bypass."
10.10.20.21,100018,TLS Certificate Expiration,Medium,5.3,443,tcp,"The TLS certificate is approaching expiration."
10.10.20.21,100019,HTTP Strict Transport Security Missing,Low,3.1,443,tcp,"The HTTPS service does not set the HSTS header."
10.10.20.21,100020,Web Server Detection,Info,0.0,443,tcp,"The remote web server type was identified."
10.10.30.30,100021,Splunk Management Remote Code Execution Exposure,Critical,9.8,8089,tcp,"The Splunk management service requires a critical security update."
10.10.30.30,100022,Splunk Management Interface Exposed,High,8.2,8089,tcp,"The Splunk management interface is reachable over the network."
10.10.30.30,100023,SSH Weak Message Authentication Codes,Medium,5.3,22,tcp,"The SSH service supports weak message authentication codes."
10.10.30.30,100024,Splunk Certificate Self-Signed,Low,3.1,8089,tcp,"The Splunk management service uses a self-signed certificate."
10.10.30.30,100025,Splunk Version Detection,Info,0.0,8089,tcp,"The Splunk service version was identified."
10.10.40.40,100026,SMB Remote Code Execution Exposure,Critical,9.8,445,tcp,"The SMB service is affected by a remote code execution vulnerability."
10.10.40.40,100027,Unsupported Windows Version,High,8.8,0,tcp,"The operating system no longer receives security updates."
10.10.40.40,100028,SMB Signing Not Required,High,8.1,445,tcp,"The SMB server does not require message signing."
10.10.40.40,100029,RPC Endpoint Enumeration,Medium,5.3,135,tcp,"RPC endpoints disclose system service information."
10.10.40.40,100030,NetBIOS Information Disclosure,Low,3.1,139,tcp,"NetBIOS exposes host naming information."
10.10.40.41,100031,RDP Remote Code Execution Exposure,Critical,9.8,3389,tcp,"The RDP service is affected by a remote code execution vulnerability."
10.10.40.41,100032,RDP Weak Encryption Configuration,High,7.5,3389,tcp,"The RDP service permits weak transport encryption."
10.10.40.41,100033,RDP Network Authentication Configuration,Medium,6.5,3389,tcp,"The RDP authentication configuration requires hardening."
10.10.40.41,100034,RDP Certificate Not Trusted,Low,3.1,3389,tcp,"The RDP service presents an untrusted certificate."
10.10.40.41,100035,RDP Service Detection,Info,0.0,3389,tcp,"The remote desktop service was identified."
10.10.50.50,100036,Web Application Command Injection,Critical,10.0,443,tcp,"The web application is affected by command injection."
10.10.50.50,100037,TLS Version 1.0 Supported,High,8.1,443,tcp,"The HTTPS service supports a deprecated TLS version."
10.10.50.50,100038,HTTP Security Headers Missing,Medium,5.3,80,tcp,"The web service omits recommended security headers."
10.10.50.50,100039,HTTP Server Header Disclosure,Low,3.1,80,tcp,"The HTTP response discloses server version information."
10.10.50.50,100040,HTTP Service Detection,Info,0.0,80,tcp,"The remote HTTP service was identified."
10.10.60.60,100041,SSH Password Authentication Enabled,High,7.5,22,tcp,"The SSH service permits password-based authentication."
10.10.60.60,100042,Unsupported Linux Packages,High,8.8,0,tcp,"Installed packages no longer receive security updates."
10.10.60.60,100043,SSH Weak Encryption Algorithms,Medium,5.9,22,tcp,"The SSH service supports weak encryption algorithms."
10.10.60.60,100044,ICMP Timestamp Response,Low,2.1,0,icmp,"The host responds to ICMP timestamp requests."
10.10.60.60,100045,Linux Service Enumeration,Info,0.0,0,tcp,"Available Linux services were enumerated."
10.10.60.61,100046,HTTP Directory Traversal,High,8.6,80,tcp,"The HTTP service may permit directory traversal."
10.10.60.61,100047,HTTPS Certificate Hostname Mismatch,Medium,5.3,443,tcp,"The certificate hostname does not match the service address."
10.10.60.61,100048,HTTP Methods Enabled,Medium,5.0,80,tcp,"The HTTP service permits unnecessary methods."
10.10.60.61,100049,Web Directory Information Disclosure,Low,3.1,80,tcp,"A web directory exposes non-sensitive information."
10.10.60.61,100050,Web Application Detection,Info,0.0,80,tcp,"The remote web application was identified."
