Asset,Severity,CVSS,Exploit Available
Public Web Server,Critical,9.8,Yes
Public Web Server,High,8.8,Yes
Public Web Server,Medium,6.5,No
Public Web Server,Low,3.1,No
Public Web Server,Informational,0.0,No
Customer Portal,Critical,9.8,Yes
Customer Portal,High,8.6,Yes
Customer Portal,Medium,6.1,No
Customer Portal,Low,3.7,No
Customer Portal,Informational,0.0,No
Domain Controller 1,Critical,9.8,Yes
Domain Controller 1,High,8.8,Yes
Domain Controller 1,High,7.5,No
Domain Controller 1,Medium,6.5,No
Domain Controller 1,Low,3.1,No
Domain Controller 2,High,8.8,Yes
Domain Controller 2,High,8.1,No
Domain Controller 2,Medium,6.5,Yes
Domain Controller 2,Low,3.7,No
Domain Controller 2,Informational,0.0,No
Database Server,Critical,9.8,No
Database Server,High,8.1,No
Database Server,Medium,6.5,No
Database Server,Low,3.1,No
Database Server,Informational,0.0,No
Linux Application Server,High,8.1,Yes
Linux Application Server,High,7.5,No
Linux Application Server,Medium,6.5,No
Linux Application Server,Low,3.7,No
Linux Application Server,Informational,0.0,No
Windows File Server,Critical,9.8,Yes
Windows File Server,High,8.8,Yes
Windows File Server,Medium,6.5,No
Windows File Server,Low,3.1,No
Windows File Server,Informational,0.0,No
Splunk Server,High,8.2,Yes
Splunk Server,High,7.5,No
Splunk Server,Medium,6.1,No
Splunk Server,Low,3.1,No
Splunk Server,Informational,0.0,No
Administrative Jump Host,High,8.8,Yes
Administrative Jump Host,High,8.1,No
Administrative Jump Host,Medium,6.5,Yes
Administrative Jump Host,Low,3.7,No
Administrative Jump Host,Informational,0.0,No
Internal Application Server,Medium,6.5,Yes
Internal Application Server,Medium,5.9,No
Internal Application Server,Low,3.7,No
Internal Application Server,Low,2.6,No
Internal Application Server,Informational,0.0,No
